Job Title,Company Name,Location,Link
"Data Scientist
Data Scientist with verification",Luma AI,"Palo Alto, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4188142427&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=F9yhyWSRkFdJ0M9kidgDOw%3D%3D
"Senior Data Scientist, Decisions, New Product Development
Senior Data Scientist, Decisions, New Product Development with verification",Lyft,"San Francisco County, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253413653&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=tfZAatJ%2FJcv9npT8blNZ%2Fw%3D%3D
"Senior Data Scientist – Manufacturing Analytics
Senior Data Scientist – Manufacturing Analytics",MDA Edge,"Sunnyvale, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4252984633&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=hv36KAazDFQPvLI0zR3YNg%3D%3D&start=50&trackingId=BqLc0nd7nu6n7PMhLoa2VQ%3D%3D
"Senior Software Engineer, Fullstack
Senior Software Engineer, Fullstack with verification",Mixpanel,"San Francisco, CA (Remote)",https://www.linkedin.com/jobs/search-results/?currentJobId=4239769808&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=s0B%2BdEuNuVKtnF36FddJ0w%3D%3D
"Senior Data Analyst, Growth
Senior Data Analyst, Growth",Mochi Health,"San Francisco, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4251990663&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=Kj4Un5Mkk2HaEBm1nDS0Xw%3D%3D
"Senior Scientist R&D
Senior Scientist R&D with verification",Natera,"San Carlos, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4237014902&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=in%2BChbnDVdGtomqxhimqRg%3D%3D
"Senior Scientist, R&D (Epigenomics)
Senior Scientist, R&D (Epigenomics) with verification",Natera,"San Carlos, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4237018199&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=YNWVWlBvrRHy%2BGfxaHvKqQ%3D%3D
"Senior Software Engineer
Senior Software Engineer",Probably Genetic,"San Francisco, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253536324&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=YiN2MZsuuY5EiBH9IKI1Sw%3D%3D&start=100&trackingId=xC%2F5%2FM8WHDvsizoIFO07Ow%3D%3D
"Sr. Data Engineer, Analytics
Sr. Data Engineer, Analytics with verification",Quizlet,"San Francisco, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4190152801&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=DYDYsP%2BaIM59VeE1yFAliA%3D%3D
"Senior / Principal Data Scientist - Engine Avatar
Senior / Principal Data Scientist - Engine Avatar with verification",Roblox,"San Mateo, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4192662596&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=KsVSSoh4Hjqk7kiu7K%2B1%2Bw%3D%3D
"Senior Director, Data Science
Senior Director, Data Science with verification",Samba TV,"San Francisco, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4077760236&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=PYbD9C8UrY8LEUuqqG4b7Q%3D%3D&trackingId=4pPFDIPOi7GRyLmFhaU%2Fpg%3D%3D
"Senior ML Engineer, Energy
Senior ML Engineer, Energy with verification",SB Energy,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4252936337&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=hv36KAazDFQPvLI0zR3YNg%3D%3D&start=50&trackingId=m01z%2FG2Vji4U5dMxgW5VuQ%3D%3D
"Senior Product Analyst, Strategy and Insights
Senior Product Analyst, Strategy and Insights",Scribe,"San Francisco, CA (Remote)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253418954&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=0udfYUVnuANbAN%2BDFOjQZg%3D%3D&start=25&trackingId=clJG52KrwQB2%2FNtCCGav2Q%3D%3D
"Staff Applied AI Scientist
Staff Applied AI Scientist with verification",Signify Technology,"Mountain View, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4253204325&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=hv36KAazDFQPvLI0zR3YNg%3D%3D&start=50&trackingId=ok7DiVJ8BuS9qUUnouuFRg%3D%3D
"Head of Delivery - Expert Data
Head of Delivery - Expert Data with verification",Snorkel AI,"San Francisco, CA",https://www.linkedin.com/jobs/search-results/?currentJobId=4239709712&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=ji4RYqQEHT67aRpdG05dWg%3D%3D&start=125&trackingId=NfxVIBd6YWL7ab9kAi8Jgw%3D%3D
"Data Engineer
Data Engineer with verification","Software Guidance & Assistance, Inc. (SGA, Inc.)","San Jose, CA (On-site)",https://www.linkedin.com/jobs/search-results/?currentJobId=4230646226&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=OO5qPV%2BsOqqQ4h8G%2B0cr0Q%3D%3D
"Senior Software Engineer, Data Platform
Senior Software Engineer, Data Platform",Sprinter Health,"Menlo Park, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4172335044&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=hv36KAazDFQPvLI0zR3YNg%3D%3D&start=50&trackingId=Fg49ckrF27%2F7pPwQ%2FVPbxw%3D%3D
"Senior Product Manager, Clinical Data
Senior Product Manager, Clinical Data",Sprinter Health,"Menlo Park, CA (Hybrid)",https://www.linkedin.com/jobs/search-results/?currentJobId=4109204033&eBP=NON_CHARGEABLE_CHANNEL&f_TPR=r86400&keywords=%22Senior%20Data%20Scientist%22&refId=Fk%2FdjWOJVYQd2fnuv0fu7A%3D%3D&start=75&trackingId=ULnMl89V%2FDjmL4Wv9vIP%2Bg%3D%3D
